text,rating,label,at,reviewId,appId
sangat suka,5,positif,2025-12-31 07:32:08,f90c3501-636e-47b6-b457-0ef0553268ea,com.whatsapp
bagus visual,5,positif,2025-12-31 07:32:02,9177bf1d-8b0e-42ab-b9c3-3ec9b1799876,com.whatsapp
👍👍👍,5,positif,2025-12-31 07:31:34,aea3272f-0c38-4517-9b2e-11d2426633da,com.whatsapp
ok,5,positif,2025-12-31 07:31:09,6fcf3d11-0a1f-4f80-a572-fcc6d686ba16,com.whatsapp
aplikasinya sangat membantu untuk berkomunikasi dengan orang yang di luar jangkauan,5,positif,2025-12-31 07:31:02,c555c765-3577-4f28-8a83-35d6fe7e4a83,com.whatsapp
whatsapp saya ke spam kenapa ya?,5,positif,2025-12-31 07:30:32,a7f6fa83-ca24-4dbd-8e8c-8895fa33a23d,com.whatsapp
"tolong pihak developer WhatsApp diperbaiki atas bug,setiap saya membuat grup selalu di banned dan akun saya dibatasi atas dugaan spam",1,negatif,2025-12-31 07:30:03,936193b2-87b3-470e-a373-439a3a2c4b4f,com.whatsapp
Please remove gif picture search thats not appreciate for children.,5,positif,2025-12-31 07:29:24,3febe153-764c-4c1f-a6bd-77095a81f8cc,com.whatsapp
keren sekali,5,positif,2025-12-31 07:24:05,91047144-4913-4a28-be3b-fb50f084816e,com.whatsapp
wa saya d blokir oleh wa sy mohon cepat d tangani,2,negatif,2025-12-31 07:22:49,2fcadaa9-4b2a-4c16-9d5c-07a3a1287a71,com.whatsapp
"WhatsApp sekarang semakin nambah fitur semakin aneh, masa gak bisa custom notifikasi buat orang-orang atau grup tertentu seperti dulu",1,negatif,2025-12-31 07:22:37,d1a7746c-29b4-4efb-8c1f-54748c55d43d,com.whatsapp
sekarang washap gampang eror bentar bentar minta di set ulang,4,positif,2025-12-31 07:17:08,1c8e895b-35e9-40d6-a99f-1b1a22673c83,com.whatsapp
min wa keabanned Mulu tolong perbaiki penting!,5,positif,2025-12-31 07:17:04,895ef0f0-efd0-4609-a493-918379359236,com.whatsapp
proses update cepat 👍,5,positif,2025-12-31 07:16:40,2ef8ac56-b403-4307-a54f-c565c6a632e7,com.whatsapp
mantap,5,positif,2025-12-31 07:15:56,f61b4897-bc9e-4ae3-bd6f-68fc8eeb5984,com.whatsapp
sangat membantu,4,positif,2025-12-31 07:15:43,4dc05008-c5c1-47dd-9f26-d10b3a2ef293,com.whatsapp
Saya kasih bintang 5,5,positif,2025-12-31 07:12:38,4ecf4ce3-af68-4bea-9f42-508b607be44f,com.whatsapp
mohon kembalikan akun app ini sangat baik,5,positif,2025-12-31 07:09:19,fc7450fc-b6ec-4649-bf99-8be28e50a0dd,com.whatsapp
bgus,5,positif,2025-12-31 07:09:08,63baf5cd-1b23-4505-a831-a94ce26685cf,com.whatsapp
gausah terlalu banyak updatenya dong kurang suka,2,negatif,2025-12-31 07:08:51,4605c226-cb03-4815-9446-2b9030cb8866,com.whatsapp
bagus sekali aplikasi,5,positif,2025-12-31 07:07:20,8c276bbc-5fae-405a-af34-e293b13f87a7,com.whatsapp
mudah mudahan baik dan tidak mengecewakan pelanggan.. trimakasih,3,netral,2025-12-31 07:07:15,351aa0be-272b-45db-9cca-b5139fad5a48,com.whatsapp
"Setelah ini jangan update lagi memori hp saya penuh karena aplikasi ini update terus ,Harus kah aplikasi ini update terus",1,negatif,2025-12-31 07:06:46,3208f73a-6ec1-42d0-b0d7-1b29f6140ad5,com.whatsapp
"oke lah,hmm... WhatsApp nya bagus bgttt keren..jangan update lagi soalnya penyimpanan data ku penuh bangett...",5,positif,2025-12-31 07:06:43,7e2985b2-d7c5-4645-929a-c2cb9c88eb59,com.whatsapp
POSTING STATUS KUALITAS VIDEO MENURUN!!!!!!!!!!,1,negatif,2025-12-31 07:05:17,0926cdca-2f70-4f6d-9ce6-16925a2ecf31,com.whatsapp
good,5,positif,2025-12-31 07:04:46,60b08028-6ed3-4611-9a95-78c00dbcb8af,com.whatsapp
"Ko wa saya g ada yang ngechet ya, apk macam apa ini",5,positif,2025-12-31 07:03:12,24e03fcc-ea4c-463b-8262-ad83bc567b46,com.whatsapp
👍,5,positif,2025-12-31 07:01:39,933e6ef4-11ba-4e76-88e3-d35bc823d108,com.whatsapp
harus update terus hadeuhhh kualitas video kadang blur. terus gabisa di update di appmarket 😌,2,negatif,2025-12-31 06:59:42,6425e4dc-765a-42c6-bb1e-2ae888bdbed2,com.whatsapp
Saya beterimah kasih aplikasi ini berguna dan sudah bagus,5,positif,2025-12-31 06:59:42,c14004f3-0012-4762-9907-7f22a8c81abc,com.whatsapp
mudah untuk berkomunikasi lewat wa.sangatbmembantu,5,positif,2025-12-31 06:59:38,f9eaa1fb-ea9a-4804-92ce-e95a9309cd0d,com.whatsapp
"aplikasi gajelas malah tiba tiba di suruh pulihkan cadangan, dan udh ngikutin petunjuk dari pihak WhatsApp malah riwayat chatnya ilang total, gabisa di kembalikan",1,negatif,2025-12-31 06:58:08,88ee968b-e917-409a-931d-c1987af36e4b,com.whatsapp
ok,5,positif,2025-12-31 06:54:42,6b1cf5ea-6689-4c14-abbf-e7d893b2b4a6,com.whatsapp
suka eror,4,positif,2025-12-31 06:54:16,b2c28a5d-bd66-447c-9b45-dadd06242d74,com.whatsapp
"pelayanannya lambat sekali, whatsapp kena bajak tp sudah seminggu tidak ada tindak lanjut, ngeloading terus..",1,negatif,2025-12-31 06:53:47,abef69db-911a-4944-b2fb-9b59a231a64d,com.whatsapp
akun saya kebelokir,5,positif,2025-12-31 06:53:21,a8555fcb-bc68-4c98-91c7-999c2cae0c55,com.whatsapp
kenapa pas saya buka loading terussssssss,1,negatif,2025-12-31 06:52:54,de9121f3-5f5b-442b-aeb6-3ec4605d138d,com.whatsapp
IqbalKHolifah,2,negatif,2025-12-31 06:51:53,81b00623-7068-47ab-a7fd-fe426203cd22,com.whatsapp
Suka,5,positif,2025-12-31 06:51:02,d410a73e-684d-4855-a224-e5db3f401f6c,com.whatsapp
bug gabisa nyematin kontak,4,positif,2025-12-31 06:49:31,b45c8e4e-d3cf-4626-911d-169b1e29895f,com.whatsapp
